U55220,1518546,ADF
U55221,1518548,ADF
U55222,1518550,ADF
U55223,1518552,ADF
U55224,1518554,ADF
U55225,1518556,ADF
U55226,1518558,ADF
U55227,1518560,ADF
U55228,1518562,ADF
U55229,1518564,ADF
U55230,1518566,ADF
AF208870,6684064,D
AF208871,6684066,E
AF208873,6684070,A
AF208877,6684078,D
AF209391,6684082,D
AF209393,6684086,C
AF209394,6684088,D
AF209395,6684090,A
AF209396,6684092,D
AF209397,6684094,A
AF209398,6684096,D
AF209399,6684098,A
AF209400,6684100,A
AF209401,6684102,D
AF209402,6684104,C
AF209403,6684106,A
AF209404,6684108,A
AF209405,6684110,A
AF121239,6692478,D
AF121240,6692479,D
AF121241,6692480,D
AF121242,6692481,D
AF121243,6692482,B
AF121244,6692483,B
AF121246,6692485,B
AF121247,6692486,B
AF247933,7407670,D
AF247936,7407682,D
AF247938,7407690,D
AF247939,7407694,D
AF247940,7407698,D
AF247942,7407706,D
AF247944,7407714,D
AF247945,7407718,D
AF247951,7407742,D
AF247952,7407746,D
AF247957,7407766,D
AF247960,7407778,D
AF247961,7407782,D
AF388662,15320531,C
AF388667,15320533,C
AF297623,15419847,A
AF323464,16930164,C
AF324069,16973466,B
AY033072,18031708,B
AY033073,18031713,B
AF461357,18252543,C
AF461358,18252548,C
AF461359,18252553,C
AF461360,18252558,B
AF461361,18252563,C
AF461362,18252568,C
AY033063,20384761,D
AF474379,21636691,C
AY090454,22135696,H
AY090455,22135701,F
AY090456,22135706,F
AY090457,22135711,H
AY090458,22135716,F
AY090459,22135721,F
AY184107,28412129,AD
AB090268,28436087,CD
AB090269,28436092,CD
AB090270,28436097,CD
AY217371,29123225,C
AY217372,29123229,C
AY217373,29123231,C
AY217374,29123235,B
AY217375,29123236,C
AY217376,29123241,C
AY217377,29123245,C
AY217378,29123246,C
AY217355,29124860,B
AY217356,29124865,B
AY217357,29124870,B
AY217359,29124880,B
AY217360,29124886,B
AY217361,29124892,B
AY217362,29124896,B
AY217364,29124902,B
AY217365,29124907,B
AY217366,29124911,B
AY217367,29124913,B
AY217368,29124916,B
AY217369,29124922,B
AY217370,29124925,B
AY232836,29469972,A
AY232837,29469975,A
AY232838,29469978,A
AY232839,29469981,A
AY232840,29469984,A
AY206374,30026320,C
AY206376,30026334,C
AY206381,30026368,C
AY206382,30026375,C
AY206384,30026390,C
AY206386,30026406,C
AY206387,30026414,B
AY206388,30026420,C
